config,buckets,concentration,bpb,source
highalpha,1048576,1000,1.11997246,pod2_run
highalpha,1048576,5000,1.44953841,pod2_run
highalpha,1048576,10000,1.49327198,pod2_run
tiny,131072,2.0,0.05174093,pod2_run
tiny,262144,2.0,0.07343538,pod2_run
curve,131072,2.0,0.05174093,pod2_run
curve,262144,2.0,0.07343538,pod2_run
curve,524288,2.0,0.10584586,pod2_run
curve,2097152,2.0,0.23319334,pod2_run
curve,8388608,2.0,0.56169680,pod2_run
curve,33554432,2.0,1.31971209,pod2_run
order3,1048576,2.0,1.54590265,pod2_run
order5,1048576,2.0,0.36945366,pod2_run
order9,1048576,2.0,0.11689459,pod2_run
order11,1048576,2.0,0.10814216,pod2_run
order15,1048576,2.0,0.10331381,pod2_run
py_d0.05,1048576,2.0,0.15827974,pod2_run
py_d0.1,1048576,2.0,0.16125592,pod2_run
py_d0.3,1048576,2.0,0.17381906,pod2_run
py_d0.5,1048576,2.0,0.18777584,pod2_run
stride32,1048576,2.0,0.15524364,pod2_run
stride128,1048576,2.0,0.15557275,pod2_run
stride256,1048576,2.0,0.15588043,pod2_run
alpha_256k_c0.5,262144,0.5,0.07460606,pod2_run
alpha_256k_c1.0,262144,1.0,0.07354110,pod2_run
alpha_256k_c2.0,262144,2.0,0.07343538,pod2_run
alpha_256k_c5.0,262144,5.0,0.07596142,pod2_run
alpha_256k_c10.0,262144,10.0,0.08171182,pod2_run
synfloor_10,67108864,2.0,0.06688264,pod2_run
synfloor_30,67108864,2.0,0.03176612,pod2_run
synfloor_60,67108864,2.0,0.01963657,pod2_run
